shop_name,name,productId
4men-vn,"Áo Khoác Nam Dạ Regular Phối Sọc 4MEN AK045 vải nỉ dạ dày dặn, mềm mại, ấm áp, dễ chịu, trẻ trυng, hiện đại, phong cách",AK045
4men-vn,"Áo Polo Nam Regular Dog Relax 4MEN PO077 cổ bẻ, tay ngắn bo vừa vặn, vải cá sấu dày dặn, thấm mồ hôi",PO077
4men-vn,"Áo Polo Nam Mắt Chim Phối Vai Form Regular 4MEN PO106 vải cotton thấm mồ hôi, thoáng mát, polyester mền mịn",PO106
4men-vn,"Áo PoLo Nam Regular Stripes 4MEN PO070 form dáng đẹp, thanh lịch, sang trọng, vải cotton chất lượng",PO070
4men-vn,"Áo Sơ Mi Nam Slimfit Minimalism 4MEN SM100 vải lụa nến mềm mịn, bóng, lên form dáng chuẩn đẹp, hiện đại, thanh lịch",SM100
4men-vn,"Áo Polo Nam Thêu Phối Sọc Form Slimfit 4MEN PO105 cổ bẻ, tay bo mềm mại, vải co giãn thoải mái, thấm mồ hôi, mềm mịn",PO105
4men-vn,"Áo Sơ Mi Nam Sọc Regular cổ cài nút 4MEN ASM114 vải CY2908 thoáng mồ hôi, mềm mịn, màubasic, thanh lịch, hiện đại",ASM114
4men-vn,"Áo khoác Nam Regular Da Lộn 4MEN AK040 khóa kéo tiện dụng, túi ngăn trong, chất liệu dày dặn, lên dáng đẹp, trẻ trυng",AK040
4men-vn,"Áo Sơ Mi Nam Tay Ngắn Flannel Regular đắp nhọn 4MEN SM124 caro cổ đứng thanh lịch, vải mềm mại thấm mồ hôi, thoáng mát",SM124
4men-vn,"Áo Polo Nam 4MEN PO038 hình thêu, phối sọc ngang, form regular suông, vải cotton mềm mịn, thấm mồ hôi, thoáng mát",PO038
4men-vn,"Áo Polo Nam Thêu Họa Tiết Icon 4MEN PO037 form regular tay ngắn có cổ bẻ, vải cá sấu thấm mồ hôi, thoáng mát, co giãn",PO037
4men-vn,"Áo Sơ Mi Nam Regular Đũi 4MEN ASM109 tay dài thanh lịch, trẻ trυng, chất vải đũi mềm mại, thấm mồ hôi tốt",ASM109
4men-vn,"Áo Sơ Mi Nam Form Loose Phối Túi 4MEN SM091 cổ bẻ, tay ngắn, vải mềm, thoáng mát, trẻ trung, phong cách",SM091
4men-vn,"Áo Polo Nam Mắt Chim Cổ V Thêu Wave Form Slimfit 4MEN PO107 vải cotton 95% mềm mại, thấm mồ hôi, thoáng mát, trẻ trυng",PO107
4men-vn,"Áo Polo Nam Vải Tổ Ong Regular In 4MEN PO096 trơn basic vải tổ ong nhỏ thoáng khí, mềm mại, co giãn, dễ chịu, trẻ trυng",PO096
4men-vn,"Áo Sơ Mi Nam 4MEN Regular Mr Friendly SM092 cổ bẻ truyền thống, tay dài thanh lịch, vải oxford và cotton thoáng khí",SM092
4men-vn,"Áo khoác dù nam 4MEN AK028 form Regular Symmetry nhiều màu, vải dù cao cấp, may 2 lớp dày dặn, chống nắng cản gió",AK028
4men-vn,"Áo Polo Nam Form Slimfit Stripe Color 4MEN PO083 đẹp, vải cotton cá sấu thoáng mái, co giãn",PO083
4men-vn,"Áo Khoác Kaki Regular Túi Kiểu 4MEN AK042 trơn đẹp, vải kaki bền dày dặn, nhiều màu, form trẻ trυng, thanh lịch",AK042
4men-vn,"Áo Polo Cá Sấu Thêu Chữ Ký Form Regular PO087 cổ bẻ, tay ngắn basic, vải cotton dày dặn, thoáng mát, thấm mồ hôi, co giã",PO087
4men-vn,"Áo Sơ Mi Nam Trơn In Họa Tiết Form Regular 4MEN SM133 tay ngắn, vải mềm mại, thấm mồ hôi, thoáng mát, trẻ trυng, cá tính",SM133
